tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s user_s nice_s system_s irq_s steal_s cpu8_busy_stat_s cpu9_busy_s cpu40_busy_s wire_ok layers_ok snd_full
fig1-3 W1-P2-r790000-p64 P2 W1 790000 64 1 0 790000 176933 0.224 89.5 127.5 138.5 143.5 - - - 7167 1764 392 488.4 225.3 30.57 0.00 4.36 - - - - - - - - 0 0 5
fig1-3 W1-P2-r790000-p64 P2 W1 790000 64 2 0 790000 158793 0.200 101.5 2743.5 3419.5 3722.5 - - - 3485933 1745 1047 469.2 216.5 30.58 0.00 10.47 - - - - - - - - 0 0 5
fig1-3 W1-P2-r790000-p64 P2 W1 790000 64 3 0 790000 214256 0.273 96.5 2871.5 3539.5 3799.5 - - - 7024700 1520 878 454.4 209.6 30.57 0.00 11.85 - - - - - - - - 0 0 5
fig1-3 W1-P3-r1050000-p64 P3 W1 1050000 64 1 0 1050000 15 0.001 26.5 83.5 137.5 155.5 - - - 0 2168 3651 741.3 364.5 0.04 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P3-r1050000-p64 P3 W1 1050000 64 2 0 1050000 3 0.001 44.5 153.5 207.5 207.5 - - - 0 2983 19842 880.5 434.1 0.03 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P3-r1050000-p64 P3 W1 1050000 64 3 0 630000 7 0.001 27.5 47.5 64.5 73.5 - - - 5732 2494 48398 851.9 479.4 0.12 0.00 0.02 - - - - - - - - 0 0 3
fig1-3 W1-P3-r130000-p64 P3 W1 130000 64 1 0 130000 51914 0.399 18.5 39.5 121.5 324.5 - - - 0 1925 2029 693.7 320.4 6.34 0.00 6.63 - - - - - - - - 1 0 5
fig1-3 W1-P3-r130000-p64 P3 W1 130000 64 2 0 130000 77497 0.600 19.5 33.5 180.5 326.5 - - - 0 1640 1354 622.6 287.4 6.41 0.00 6.61 - - - - - - - - 1 0 5
fig1-3 W1-P3-r130000-p64 P3 W1 130000 64 3 0 130000 51904 0.399 17.5 27.5 42.5 210.5 - - - 0 1650 1958 639.3 295.3 5.97 0.00 6.40 - - - - - - - - 1 0 5
fig1-3 W1-P3-r1300000-p64 P3 W1 1300000 64 1 0 1300000 0 0.000 0.5 0.5 0.5 0.5 - - - 0 9135 367 7060.0 5137.0 0.02 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P3-r1300000-p64 P3 W1 1300000 64 2 0 1300000 7 0.001 22.5 60.5 160.5 161.5 - - - 0 2321 0 742.5 374.6 0.05 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P3-r1300000-p64 P3 W1 1300000 64 3 0 1300000 0 0.002 0.5 0.5 0.5 0.5 - - - 241 1678 482 595.9 286.0 0.10 0.00 0.00 - - - - - - - - 0 0 5
task1b W1-P3-r390000-p64 P3 W1 390000 64 1 1 390000 388181 0.999 15.5 27.5 30.5 39.5 - - - 1 1402 1522 576.3 265.8 35.33 0.00 37.23 2.68 0.00 28.78 0.00 0.00 31.46 0.04226043876923077 40.464040271692305 1 1 5
task1b W1-P3-r390000-p64 P3 W1 390000 64 2 1 390000 388178 0.999 15.5 28.5 30.5 37.5 - - - 1 1410 1531 579.2 267.1 35.67 0.00 37.45 2.82 0.00 28.90 0.00 0.00 31.72 0.022461825846153846 40.63709227846154 1 1 5
task1b W1-P3-r390000-p64 P3 W1 390000 64 3 1 390000 388117 0.999 15.5 27.5 30.5 40.5 - - - 1 1409 1530 579.4 267.2 35.76 0.00 37.42 2.56 0.00 29.01 0.00 0.00 31.57 0.020557226153846152 40.77210872984615 1 1 5
fig1-3 W1-P3-r525000-p64 P3 W1 525000 64 1 0 525000 301653 0.581 184.5 1195.5 2143.5 2744.5 - - - 709996 1557 1441 544.9 251.3 28.98 0.00 27.38 - - - - - - - - 1 0 5
fig1-3 W1-P3-r525000-p64 P3 W1 525000 64 2 0 525000 209690 0.399 21.5 107.5 494.5 757.5 - - - 21 2318 2140 717.9 331.1 30.25 0.00 28.26 - - - - - - - - 1 0 5
fig1-3 W1-P3-r525000-p64 P3 W1 525000 64 3 0 525000 1 0.019 31.5 52.5 67.5 67.5 - - - 0 1778 8103863 562.6 262.5 0.31 0.00 0.26 - - - - - - - - 0 0 5
fig1-3 W1-P3-r790000-p64 P3 W1 790000 64 1 0 790000 22 0.007 43.5 107.5 151.5 182.5 - - - 0 1613 0 614.3 288.6 0.01 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P3-r790000-p64 P3 W1 790000 64 3 0 790000 40 0.002 30.5 70.5 148.5 162.5 - - - 0 2392 2957 766.5 374.1 0.03 0.00 0.01 - - - - - - - - 0 0 5
fig1-3 W1-P4-r1050000-p64 P4 W1 1050000 64 1 0 1050000 23 0.002 33.5 164.5 359.5 416.5 - - - 0 2214 2295 767.3 372.0 0.05 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P4-r1050000-p64 P4 W1 1050000 64 2 0 1050000 2 0.001 32.5 105.5 117.5 117.5 - - - 0 2232 30935 846.3 434.3 0.05 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P4-r1050000-p64 P4 W1 1050000 64 3 0 1050000 0 0.002 135.5 135.5 135.5 135.5 - - - 0 2087 814513 754.5 365.6 0.04 0.00 0.00 - - - - - - - - 0 0 5
